degree_type,grad_year_band,company.name
Minor,2021–2024,Walmart
Minor,2021–2024,
Minor,2021–2024,
Minor,2021–2024,
Minor,2021–2024,
Minor,2021–2024,
Minor,2021–2024,
Minor,2021–2024,
Minor,2021–2024,
Minor,2021–2024,Sandbox
Minor,2021–2024,Powder River Inc
Minor,2021–2024,
